name,ticktime,price,volume,prev_price,kind
烽火电子,15:00:17,11.42,305200,11.42,E
兴蓉环境,15:00:17,7.32,930772,7.32,U
河北钢铁,15:00:17,3.45,3178688,3.44,E
美达股份,15:00:17,15.14,370024,15.14,E
一汽轿车,15:00:17,15.5,358000,15.54,E
智慧农业,15:00:17,8.49,927896,8.49,U
鲁西化工,15:00:17,6.9,422800,6.9,D
南天信息,15:00:17,27.8,230158,27.8,U
广州友谊,15:00:17,28.07,171900,28.07,E
达安基因,15:00:17,40.91,290960,40.92,D
沃华医药,15:00:17,24.9,220500,24.9,U
中环股份,15:00:17,12.97,773584,12.98,E
顺络电子,15:00:17,14.85,434000,14.86,D
宁波银行,15:00:17,15.27,1505400,15.27,E
莱茵生物,15:00:17,15.07,241750,15.07,U
延华智能,15:00:17,14.13,327100,14.12,U
启明信息,15:00:17,18.8,431972,18.79,U
大 东 南,15:00:17,10.23,1924156,10.19,E
美邦服饰,15:00:17,6.72,768200,6.71,E
洪涛股份,15:00:17,16.45,633600,16.45,U
富安娜,15:00:17,11.88,600000,11.87,E
积成电子,15:00:17,26.44,375372,26.42,U
格林美,15:00:17,14.76,390500,14.75,U
爱施德,15:00:17,17.98,894436,17.9,E
天虹商场,15:00:17,12.93,183417,12.94,D
协鑫集成,15:00:17,12.61,1646000,12.61,E
旷达科技,15:00:17,14.72,219241,14.72,D
中科英华,15:00:03,10.85,171008,10.84,U
中科曙光,14:59:47,93.0,82030,92.96,U
东贝Ｂ股,14:59:47,2.196,158900,2.161,U
东方集团,14:59:41,8.44,605660,8.41,U
厦门空港,14:59:41,23.27,103200,23.27,U
中华企业,14:59:31,7.9,485036,7.89,U
滨化股份,14:59:21,8.08,505400,8.07,U
葛洲坝,14:59:11,8.08,588192,8.07,U
中国软件,14:58:46,35.66,306600,35.67,D
南京医药,14:58:41,10.58,342900,10.59,D
深圳燃气,14:58:41,8.99,374800,8.99,U
昊华能源,14:58:31,8.3,455400,8.26,U
南京高科,14:58:21,19.48,213500,19.48,U
杭萧钢构,14:58:21,11.65,409408,11.59,U
营口港,14:58:11,4.7,848100,4.69,U
浦东建设,14:57:45,13.5,511401,13.47,U
中远航运,14:57:40,12.71,612704,12.71,D
*ST成城,14:57:35,22.5,216437,22.33,U
先导智能,14:57:02,101.4,102900,101.4,D
